iter	F1	Logloss
0	0.6100672323	0.68786355
1	0.6168013022	0.6831854631
2	0.6258300837	0.6790023651
3	0.6249917321	0.6752785554
4	0.6291662001	0.6716519251
5	0.6317611336	0.6680460279
6	0.630118261	0.6648932655
7	0.6361144794	0.6618193333
8	0.6351118798	0.6591194839
9	0.634693438	0.6568934469
10	0.6365374907	0.6547308289
11	0.6353210849	0.6528427859
12	0.6332147606	0.6506732383
13	0.6382966819	0.6484434871
14	0.6410051782	0.6465712434
15	0.6445071815	0.6450853339
16	0.6501571095	0.6431185162
17	0.6456411334	0.6416534507
18	0.6487826423	0.6402582347
19	0.6509772566	0.6393103327
20	0.6497675064	0.6381564301
21	0.6457350333	0.63698124
22	0.6501133108	0.6359242397
23	0.6505953602	0.6346765946
24	0.6531329427	0.6331300935
25	0.650858631	0.6318611609
26	0.6546404031	0.6305641777
27	0.6560921558	0.6295255822
28	0.6583708244	0.6285922599
29	0.658635717	0.6280879022
30	0.6593194369	0.6270996981
31	0.6595851206	0.6262955973
32	0.6599655853	0.6253077813
33	0.6627309599	0.6242560474
34	0.6626524456	0.6235864901
35	0.6649251408	0.6226519482
36	0.6648143491	0.6218334894
37	0.6662457466	0.6205754778
38	0.6654646341	0.6192506102
39	0.6659016806	0.6186072188
40	0.6665901684	0.6177344327
41	0.6664085472	0.6170985805
42	0.6659581819	0.6162980831
43	0.6664901433	0.6155052913
44	0.6680243036	0.6148040799
45	0.6693307469	0.6137568918
46	0.6704570035	0.6132203257
47	0.6718981613	0.6128178596
48	0.6729915558	0.611827937
49	0.6738619136	0.6111105937
50	0.6748271591	0.6105619425
51	0.6739493967	0.6098265825
52	0.673920697	0.609380211
53	0.6756912374	0.6083919515
54	0.6776927683	0.6077367521
55	0.6784461768	0.6069643608
56	0.6805481119	0.6063947548
57	0.6789787644	0.6055561173
58	0.680044319	0.6051227178
59	0.6809929434	0.6043665693
60	0.6816282686	0.6034783165
61	0.6832896593	0.6031913792
62	0.6848148608	0.6022252387
63	0.6846622524	0.6015896083
64	0.6848191807	0.6008869556
65	0.6839629622	0.6005231838
66	0.6842772848	0.5998535156
67	0.6849327581	0.5995046008
